istno,kod,il_adi,gridno,tarihsel_mevcut
17351,AA,Adana,1245,True
17265,AD,Adıyaman,1757,True
17190,AF,Afyonkarahisar,2024,True
17192,AK,Aksaray,1939,True
17085,AM,Amasya,3146,True
17130,AN,Ankara,2734,True
17300,AL,Antalya,1026,True
17046,AR,Ardahan,3773,True
17045,AV,Artvin,3770,True
17234,AY,Aydın,1513,True
17099,AG,Ağrı,3076,True
17114,BK,Balıkesir,2914,False
17020,BR,Bartın,3631,True
17282,BM,Batman,1970,True
17089,BB,Bayburt,3164,True
17120,BC,Bilecik,2822,True
17203,BG,Bingöl,2466,True
17208,BT,Bitlis,2373,True
17070,BL,Bolu,3129,True
17238,BD,Burdur,1523,True
17116,BU,Bursa,2818,True
17237,DN,Denizli,1518,True
17280,DY,Diyarbakır,1866,True
17072,DU,Düzce,3227,True
17050,ED,Edirne,3608,True
17201,EG,Elazığ,2261,True
17094,EN,Erzincan,2861,True
17096,EM,Erzurum,3068,True
17126,ES,Eskişehir,2624,True
17261,GA,Gaziantep,1354,True
17034,GI,Giresun,3356,True
17088,GU,Gümüşhane,3261,True
17285,HK,Hakkari,1981,True
17372,HT,Hatay,749,True
17240,IP,Isparta,1524,True
17100,IG,Iğdır,3280,True
17255,KM,Kahramanmaraş,1552,True
17078,KB,Karabük,3433,True
17246,KR,Karaman,1236,True
17097,KA,Kars,3575,True
17074,KS,Kastamonu,3537,True
17196,KY,Kayseri,2145,True
17262,KI,Kilis,1153,True
17066,KC,Kocaeli,3122,True
17244,KO,Konya,1633,True
17155,KU,Kütahya,2422,True
17052,KL,Kırklareli,3711,True
17135,KK,Kırıkkale,2637,True
17160,KH,Kırşehir,2339,True
17199,ML,Malatya,2057,True
17186,MN,Manisa,2011,True
17275,MR,Mardin,1668,True
17340,IC,Mersin,1142,True
17292,MG,Muğla,1215,True
17204,MS,Muş,2470,True
17193,NV,Nevşehir,2042,True
17250,NG,Niğde,1742,True
17033,OR,Ordu,3354,True
17355,OS,Osmaniye,1249,True
17040,RI,Rize,3565,True
17069,SK,Sakarya,3124,True
17030,SS,Samsun,3547,True
17210,SI,Siirt,2073,True
17026,SP,Sinop,3842,True
17090,SV,Sivas,2751,True
17056,TG,Tekirdağ,3312,True
17086,TT,Tokat,3049,True
17037,TB,Trabzon,3462,True
17165,TC,Tunceli,2562,True
17188,US,Uşak,2019,True
17172,VA,Van,2378,True
17119,YL,Yalova,3019,True
17140,YZ,Yozgat,2742,True
17022,ZO,Zonguldak,3429,True
17112,CK,Çanakkale,2907,True
17080,CI,Çankırı,3137,True
17084,CM,Çorum,3142,True
17636,IB,İstanbul,3317,True
17220,IZ,İzmir,1910,True
17270,SU,Şanlıurfa,1460,True
17950,SR,Şırnak,1774,False
